Channels,Time Slot,Week Days,All Individuals,Dettol TG,18-45_Male_Female,Males ,Females,RPM,CPRP,Timeband
EXPRESS ENT,07:00 - 07:30,Sunday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,07:00 - 07:30,Monday,0.01,0.01,0.01,0,0.01,"2,125","106,250",Early Morning
EXPRESS ENT,07:00 - 07:30,Tuesday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,07:00 - 07:30,Wednesday,0.01,0,0.01,0.01,0.01,"2,125",0,Early Morning
EXPRESS ENT,07:00 - 07:30,Thursday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,07:00 - 07:30,Friday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,07:00 - 07:30,Saturday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,07:30 - 08:00,Sunday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,07:30 - 08:00,Monday,0.01,0.01,0.02,0.01,0.02,"2,125","106,250",Early Morning
EXPRESS ENT,07:30 - 08:00,Tuesday,0.01,0.02,0.01,0,0.01,"2,125","53,125",Early Morning
EXPRESS ENT,07:30 - 08:00,Wednesday,0.01,0,0,0.01,0,"2,125",0,Early Morning
EXPRESS ENT,07:30 - 08:00,Thursday,0,0,0,0,0,"2,125",0,Early Morning
EXPRESS ENT,07:30 - 08:00,Friday,0.01,0.01,0,0,0.01,"2,125","106,250",Early Morning
EXPRESS ENT,07:30 - 08:00,Saturday,0.01,0.02,0.02,0.02,0.01,"2,125","53,125",Early Morning
EXPRESS ENT,08:00 - 08:30,Sunday,0,0,0,0,0.01,"4,675",0,Morning Time
EXPRESS ENT,08:00 - 08:30,Monday,0.01,0,0.01,0.01,0.01,"4,675",0,Morning Time
EXPRESS ENT,08:00 - 08:30,Tuesday,0,0,0,0.01,0,"4,675",0,Morning Time
EXPRESS ENT,08:00 - 08:30,Wednesday,0,0,0,0,0,"4,675",0,Morning Time
EXPRESS ENT,08:00 - 08:30,Thursday,0,0.01,0,0,0,"4,675","233,750",Morning Time
EXPRESS ENT,08:00 - 08:30,Friday,0.01,0.01,0.01,0.01,0.01,"4,675","233,750",Morning Time
EXPRESS ENT,08:00 - 08:30,Saturday,0.01,0.03,0.01,0.02,0.01,"4,675","77,917",Morning Time
EXPRESS ENT,08:30 - 09:00,Sunday,0.01,0.01,0.01,0.01,0.02,"4,675","233,750",Morning Time
EXPRESS ENT,08:30 - 09:00,Monday,0.02,0,0.02,0.01,0.02,"4,675",0,Morning Time
EXPRESS ENT,08:30 - 09:00,Tuesday,0.01,0,0.01,0.01,0.01,"4,675",0,Morning Time
EXPRESS ENT,08:30 - 09:00,Wednesday,0.01,0.01,0.01,0.01,0.01,"4,675","233,750",Morning Time
EXPRESS ENT,08:30 - 09:00,Thursday,0.01,0.01,0.01,0.01,0.01,"4,675","233,750",Morning Time
EXPRESS ENT,08:30 - 09:00,Friday,0.01,0.01,0.02,0.01,0.02,"4,675","233,750",Morning Time
EXPRESS ENT,08:30 - 09:00,Saturday,0.02,0.04,0.03,0.02,0.03,"4,675","58,438",Morning Time
EXPRESS ENT,09:00 - 09:30,Sunday,0.01,0.02,0.02,0.01,0.02,"4,675","116,875",Morning Time
EXPRESS ENT,09:00 - 09:30,Monday,0.03,0.03,0.03,0.02,0.04,"4,675","77,917",Morning Time
EXPRESS ENT,09:00 - 09:30,Tuesday,0.03,0.05,0.03,0.02,0.04,"4,675","46,750",Morning Time
EXPRESS ENT,09:00 - 09:30,Wednesday,0.02,0.02,0.02,0.02,0.02,"4,675","116,875",Morning Time
EXPRESS ENT,09:00 - 09:30,Thursday,0.05,0.03,0.05,0.03,0.06,"4,675","77,917",Morning Time
EXPRESS ENT,09:00 - 09:30,Friday,0.07,0.06,0.07,0.05,0.09,"4,675","38,958",Morning Time
EXPRESS ENT,09:00 - 09:30,Saturday,0.04,0.06,0.05,0.03,0.05,"4,675","38,958",Morning Time
EXPRESS ENT,09:30 - 10:00,Sunday,0.02,0.03,0.02,0.01,0.02,"4,675","77,917",Morning Time
EXPRESS ENT,09:30 - 10:00,Monday,0.05,0.1,0.05,0.04,0.07,"4,675","23,375",Morning Time
EXPRESS ENT,09:30 - 10:00,Tuesday,0.07,0.15,0.08,0.05,0.1,"4,675","15,583",Morning Time
EXPRESS ENT,09:30 - 10:00,Wednesday,0.04,0.09,0.05,0.03,0.05,"4,675","25,972",Morning Time
EXPRESS ENT,09:30 - 10:00,Thursday,0.1,0.15,0.1,0.06,0.14,"4,675","15,583",Morning Time
EXPRESS ENT,09:30 - 10:00,Friday,0.05,0.04,0.05,0.03,0.07,"4,675","58,438",Morning Time
EXPRESS ENT,09:30 - 10:00,Saturday,0.05,0.08,0.06,0.04,0.06,"4,675","29,219",Morning Time
EXPRESS ENT,10:00 - 10:30,Sunday,0.04,0.09,0.04,0.02,0.05,"4,675","25,972",Morning Time
EXPRESS ENT,10:00 - 10:30,Monday,0.07,0.21,0.07,0.05,0.1,"4,675","11,131",Morning Time
EXPRESS ENT,10:00 - 10:30,Tuesday,0.1,0.14,0.12,0.07,0.13,"4,675","16,696",Morning Time
EXPRESS ENT,10:00 - 10:30,Wednesday,0.06,0.14,0.07,0.05,0.07,"4,675","16,696",Morning Time
EXPRESS ENT,10:00 - 10:30,Thursday,0.07,0.19,0.08,0.03,0.11,"4,675","12,303",Morning Time
EXPRESS ENT,10:00 - 10:30,Friday,0.02,0.01,0.03,0.01,0.04,"4,675","233,750",Morning Time
EXPRESS ENT,10:00 - 10:30,Saturday,0.04,0.1,0.04,0.03,0.05,"4,675","23,375",Morning Time
EXPRESS ENT,10:30 - 11:00,Sunday,0.05,0.09,0.06,0.04,0.06,"4,675","25,972",Morning Time
EXPRESS ENT,10:30 - 11:00,Monday,0.09,0.2,0.09,0.05,0.12,"4,675","11,688",Morning Time
EXPRESS ENT,10:30 - 11:00,Tuesday,0.09,0.1,0.11,0.08,0.11,"4,675","23,375",Morning Time
EXPRESS ENT,10:30 - 11:00,Wednesday,0.08,0.16,0.1,0.06,0.1,"4,675","14,609",Morning Time
EXPRESS ENT,10:30 - 11:00,Thursday,0.08,0.13,0.09,0.06,0.11,"4,675","17,981",Morning Time
EXPRESS ENT,10:30 - 11:00,Friday,0.03,0.01,0.04,0.02,0.05,"4,675","233,750",Morning Time
EXPRESS ENT,10:30 - 11:00,Saturday,0.06,0.17,0.07,0.05,0.06,"4,675","13,750",Morning Time
EXPRESS ENT,11:00 - 11:30,Sunday,0.38,0.55,0.42,0.25,0.53,"4,675","4,250",Morning Time
EXPRESS ENT,11:00 - 11:30,Monday,0.45,0.73,0.52,0.27,0.62,"4,675","3,202",Morning Time
EXPRESS ENT,11:00 - 11:30,Tuesday,0.5,0.76,0.54,0.32,0.68,"4,675","3,076",Morning Time
EXPRESS ENT,11:00 - 11:30,Wednesday,0.45,0.73,0.53,0.29,0.62,"4,675","3,202",Morning Time
EXPRESS ENT,11:00 - 11:30,Thursday,0.45,0.81,0.46,0.32,0.58,"4,675","2,886",Morning Time
EXPRESS ENT,11:00 - 11:30,Friday,0.38,0.61,0.42,0.28,0.48,"4,675","3,832",Morning Time
